,LineNumber,Accel_X,Accel_Y,Accel_Z,Velocity,RealTime,Label
0,28,0.17,0.09,-0.3,0.0,2022-03-04 10:13:22.593,0
1,48,0.19,-0.1,-0.28,0.0,2022-03-04 10:13:22.692,0
2,68,-0.19,-0.1,-0.45,0.0,2022-03-04 10:13:22.791,0
3,88,-0.57,-0.22,-0.62,0.0,2022-03-04 10:13:22.891,0
4,110,0.18,0.1,-0.35,0.0,2022-03-04 10:13:22.999,0
5,130,-0.23,0.07,-0.22,0.0,2022-03-04 10:13:23.098,0
6,154,0.16,0.11,-0.23,0.0,2022-03-04 10:13:23.198,0
7,174,0.17,-0.1,-0.27,0.0,2022-03-04 10:13:23.297,0
8,194,-0.14,0.06,-0.26,0.0,2022-03-04 10:13:23.396,0
9,214,0.17,-0.08,-0.34,0.0,2022-03-04 10:13:23.495,0
10,236,-0.14,-0.09,-0.25,0.0,2022-03-04 10:13:23.595,0
11,256,0.16,-0.09,-0.3,0.0,2022-03-04 10:13:23.694,0
12,276,0.23,0.08,-0.23,0.0,2022-03-04 10:13:23.794,0
13,296,-0.22,0.12,-0.27,0.0,2022-03-04 10:13:23.892,0
14,316,0.15,0.1,-0.28,0.0,2022-03-04 10:13:23.992,0
15,336,-0.2,0.12,-0.28,0.0,2022-03-04 10:13:24.091,0
16,360,0.17,-0.13,-0.29,0.0,2022-03-04 10:13:24.190,0
17,380,-0.23,0.07,-0.2,0.0,2022-03-04 10:13:24.291,0
18,400,0.12,0.12,-0.3,0.0,2022-03-04 10:13:24.389,0
19,422,-0.22,-0.15,-0.35,0.0,2022-03-04 10:13:24.498,0
20,444,-0.23,0.16,0.28,0.0,2022-03-04 10:13:24.598,0
21,464,0.17,0.06,0.31,0.0,2022-03-04 10:13:24.697,0
22,484,0.23,-0.1,-0.31,0.0,2022-03-04 10:13:24.796,0
23,504,0.19,-0.13,-0.28,0.0,2022-03-04 10:13:24.896,0
24,524,-0.22,0.14,-0.34,0.0,2022-03-04 10:13:24.995,0
25,544,0.2,0.09,-0.3,0.0,2022-03-04 10:13:25.098,0
26,566,0.29,-0.36,0.52,0.0,2022-03-04 10:13:25.195,0
27,588,-0.24,0.09,-0.27,0.0,2022-03-04 10:13:25.292,0
28,608,0.21,0.09,-0.26,0.0,2022-03-04 10:13:25.392,0
29,628,0.14,0.1,-0.28,0.0,2022-03-04 10:13:25.491,0
30,650,-0.2,-0.08,-0.28,0.0,2022-03-04 10:13:25.591,0
31,672,0.15,0.09,-0.29,0.0,2022-03-04 10:13:25.699,0
32,692,0.2,-0.08,-0.25,0.0,2022-03-04 10:13:25.798,0
33,712,0.17,0.07,0.27,0.0,2022-03-04 10:13:25.898,0
34,732,0.18,0.08,-0.27,0.0,2022-03-04 10:13:25.997,0
35,752,0.12,-0.06,-0.29,0.0,2022-03-04 10:13:26.098,0
36,776,-0.19,0.1,-0.27,0.0,2022-03-04 10:13:26.195,0
37,796,0.16,0.09,-0.3,0.0,2022-03-04 10:13:26.296,0
38,816,-0.18,0.1,-0.31,0.0,2022-03-04 10:13:26.394,0
39,836,0.16,-0.07,-0.21,0.0,2022-03-04 10:13:26.494,0
40,858,0.17,-0.1,-0.24,0.0,2022-03-04 10:13:26.592,0
41,878,-0.21,0.09,-0.25,0.0,2022-03-04 10:13:26.694,0
42,898,-0.23,0.1,-0.27,0.0,2022-03-04 10:13:26.791,0
43,918,0.14,0.1,-0.24,0.0,2022-03-04 10:13:26.891,0
44,940,-0.21,0.09,-0.37,0.0,2022-03-04 10:13:26.999,0
45,960,-0.13,0.09,-0.3,0.0,2022-03-04 10:13:27.099,0
46,984,-0.18,-0.1,-0.22,0.0,2022-03-04 10:13:27.198,0
47,1004,-0.14,0.09,0.24,0.0,2022-03-04 10:13:27.297,0
48,1024,0.15,-0.1,-0.27,0.0,2022-03-04 10:13:27.397,0
49,1044,-0.15,-0.09,-0.28,0.0,2022-03-04 10:13:27.497,0
50,1066,0.15,0.09,-0.25,0.0,2022-03-04 10:13:27.595,0
51,1086,-0.17,0.09,0.22,0.0,2022-03-04 10:13:27.694,0
52,1106,0.13,-0.09,-0.25,0.0,2022-03-04 10:13:27.794,0
53,1126,-0.2,0.11,-0.32,0.0,2022-03-04 10:13:27.894,0
54,1146,-0.2,-0.09,-0.25,0.0,2022-03-04 10:13:27.993,0
55,1166,-0.17,0.09,-0.22,0.0,2022-03-04 10:13:28.096,0
56,1186,-0.18,0.1,-0.28,0.0,2022-03-04 10:13:28.192,0
57,1210,-0.2,-0.09,-0.24,0.0,2022-03-04 10:13:28.290,0
58,1230,0.19,-0.08,-0.21,0.0,2022-03-04 10:13:28.392,0
59,1252,0.17,0.08,-0.29,0.0,2022-03-04 10:13:28.498,0
60,1274,-0.18,0.06,-0.15,0.0,2022-03-04 10:13:28.597,0
61,1294,0.13,0.08,0.24,0.0,2022-03-04 10:13:28.698,0
62,1314,0.17,-0.09,-0.22,0.0,2022-03-04 10:13:28.796,0
