,LineNumber,Accel_X,Accel_Y,Accel_Z,Velocity,RealTime,Label
0,28,-0.21,0.13,-0.21,0.0,2022-03-04 11:22:15.087,0
1,50,-0.17,0.1,-0.24,0.0,2022-03-04 11:22:15.199,0
2,70,-0.23,0.07,-0.25,0.0,2022-03-04 11:22:15.296,0
3,90,-0.21,0.06,-0.38,0.0,2022-03-04 11:22:15.395,0
4,110,-0.23,0.13,-0.54,0.0,2022-03-04 11:22:15.495,0
5,130,-0.25,0.14,-0.25,0.0,2022-03-04 11:22:15.594,0
6,150,-0.2,0.07,-0.21,0.0,2022-03-04 11:22:15.695,0
7,174,-0.2,0.1,-0.28,0.0,2022-03-04 11:22:15.793,0
8,194,-0.15,0.07,-0.23,0.0,2022-03-04 11:22:15.892,0
9,214,-0.21,0.14,-0.24,0.0,2022-03-04 11:22:15.991,0
10,236,-0.15,-0.1,-0.3,0.0,2022-03-04 11:22:16.091,0
11,256,-0.19,0.13,-0.27,0.0,2022-03-04 11:22:16.189,0
12,278,0.34,-0.18,-0.36,0.0,2022-03-04 11:22:16.299,0
13,298,-0.3,0.09,-0.33,0.0,2022-03-04 11:22:16.398,0
14,318,0.25,0.13,-0.39,0.0,2022-03-04 11:22:16.498,0
15,336,-0.18,-0.15,-0.33,0.0,2022-03-04 11:22:16.587,0
16,358,-0.2,0.14,-0.37,0.0,2022-03-04 11:22:16.698,0
17,382,0.92,-0.27,-0.58,0.0,2022-03-04 11:22:16.795,0
18,402,-0.2,0.2,-0.26,0.0,2022-03-04 11:22:16.895,0
19,422,-0.22,-0.09,-0.28,0.0,2022-03-04 11:22:16.993,3
20,444,0.16,0.09,-0.29,0.0,2022-03-04 11:22:17.093,3
21,464,0.36,-0.14,-0.76,0.0,2022-03-04 11:22:17.192,3
22,484,-0.56,0.74,-0.58,0.0,2022-03-04 11:22:17.291,3
23,504,-0.97,1.68,-0.77,0.0,2022-03-04 11:22:17.390,3
24,524,-0.9,2.2,-0.66,0.0,2022-03-04 11:22:17.490,3
25,544,-0.84,2.65,0.87,0.0,2022-03-04 11:22:17.589,3
26,566,-0.95,2.79,0.9,0.0,2022-03-04 11:22:17.699,3
27,590,-1.13,2.97,-1.5,0.0,2022-03-04 11:22:17.798,3
28,610,-1.49,3.61,-1.76,0.0,2022-03-04 11:22:17.897,3
29,630,-0.74,3.78,-1.34,0.0,2022-03-04 11:22:17.997,3
30,652,-1.13,4.13,1.38,0.0,2022-03-04 11:22:18.096,3
31,672,-1.32,4.86,-2.32,0.0,2022-03-04 11:22:18.197,3
32,692,-2.51,4.23,-2.78,0.0,2022-03-04 11:22:18.294,3
33,712,-0.7,1.5,-1.05,0.0,2022-03-04 11:22:18.393,3
34,732,-0.87,2.63,-0.72,0.0,2022-03-04 11:22:18.492,3
35,752,-1.56,3.35,-1.43,0.0,2022-03-04 11:22:18.592,3
36,776,-0.89,3.05,2.04,10.8,2022-03-04 11:22:18.692,3
37,796,-0.73,1.89,-1.17,10.8,2022-03-04 11:22:18.791,3
38,818,-0.99,3.06,1.34,10.8,2022-03-04 11:22:18.899,3
39,836,-0.95,3.47,-1.63,10.8,2022-03-04 11:22:18.989,3
40,860,-1.03,3.0,-2.25,10.8,2022-03-04 11:22:19.098,3
41,880,-1.54,2.85,2.06,10.8,2022-03-04 11:22:19.197,3
42,900,-1.47,3.36,-1.88,10.8,2022-03-04 11:22:19.297,3
43,920,-1.09,3.59,-1.01,10.8,2022-03-04 11:22:19.398,3
44,940,-0.73,3.98,-1.0,10.8,2022-03-04 11:22:19.498,3
45,960,-1.55,3.51,-1.0,10.8,2022-03-04 11:22:19.596,3
46,980,-1.68,3.06,-0.77,10.8,2022-03-04 11:22:19.696,3
47,1004,-1.76,2.67,-1.17,15.8,2022-03-04 11:22:19.793,3
48,1024,-0.88,1.75,-0.91,15.8,2022-03-04 11:22:19.892,3
49,1044,-0.86,1.42,-0.75,15.8,2022-03-04 11:22:19.991,3
50,1066,-1.08,2.53,-1.45,15.8,2022-03-04 11:22:20.091,3
51,1086,-1.64,2.42,-1.66,15.8,2022-03-04 11:22:20.190,3
52,1106,-1.42,2.0,-1.09,15.8,2022-03-04 11:22:20.290,3
53,1128,-0.77,1.91,1.32,15.8,2022-03-04 11:22:20.399,3
54,1148,-1.29,2.15,-1.38,15.8,2022-03-04 11:22:20.498,3
55,1168,-1.18,2.08,1.84,15.8,2022-03-04 11:22:20.597,3
56,1188,-1.42,1.57,-1.7,15.8,2022-03-04 11:22:20.699,3
57,1212,-1.15,1.15,-1.37,25.9,2022-03-04 11:22:20.795,3
